Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,1513.46103432745
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,17890.5749431119
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,9841.76405036101
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,35562.5675277478
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4146.7441286273
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,661.52777340536
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,641.595964716703
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,4529.13941162907
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,739.595436253749
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2361.16020452934
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,43740.9928819793
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,12820.0881963053
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,59764.7053751862
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1709.59180811655
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3570.29488811764
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,5219.1094080464
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,4609.60069352322
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,64175.4382364984
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,37180.5271115258
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,30661.2218094126
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,4878.57579137263
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,38900.5693058431
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4087.9375167203
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,7714.69356810299
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1455.35976536469
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1587.05786874662
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People’s Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,27538.8061282212
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,3661.42984742258
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,27359.2303297594
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1077.6030820999
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2338.69215683656
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,14071.0272283078
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8257.29439052664
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1039.70407191984
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,455.370741357005
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,14900.7788993879
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,100738.684223143
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,74017.1847105799
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macedonia, FYR",MKD,5237.1476704612
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,401.742269629679
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,300.307665115766
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,9508.237749643
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,9875.278427957
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,779.944843827232
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,25145.3931488601
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,3665.20747748087
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1101.90162661686
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,9630.94402829695
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,8208.55598433192
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3143.74910660682
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,1900.22608813183
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,3694.08255234637
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,7028.93479926881
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,2892.77556054736
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,382.069330425644
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1195.51537205875
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4414.97894735036
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,7821.29891769903
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,729.122251498504
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,45637.8867460287
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,39412.1594273566
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,2151.38204656346
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2175.67344162212
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,22572.3788234011
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,70868.1224961218
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,14982.3579235229
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1443.62501636392
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,14428.1402594987
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,13680.23600692
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2500.09111596047
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,4077.74207258975
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6049.23257792933
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,2951.07192902945
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,12414.0987276104
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,19838.0272272309
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,30790.1047897477
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,59324.3387732773
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,9522.77104093628
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,8748.36885284202
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,702.835601585743
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4030.01314440882
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,47908.5614131786
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1714.68018368506
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,20028.6482069305
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,952.768323350168
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,5426.19827887247
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,15075.7194365696
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,505.204511182641
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,52962.4915685915
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,16529.5409667954
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,21650.2127554094
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2005.48364332796
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,434.208809668616
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,5274.54600788616
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,26616.4881048468
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,3909.98906590226
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,16596.8263898601
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,9364.82152461143
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,7006.59619553156
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,2415.03816212562
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,5871.4420029876
GDP per capita (current US$),NY.GDP.PCAP.CD,Swaziland,SWZ,2770.19947507562
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51844.7612618627
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,79887.5182392741
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,795.843864367519
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,877.507612002733
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,5910.62093215914
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1405.3872122875
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,578.461693648613
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,3748.64179374888
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,16040.5242352793
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3688.64637468078
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,10862.6003994208
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,6389.33414279619
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,3083.61525088619
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,580.383538538412
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,2185.72803066435
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,37622.2074564244
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,40367.0378421962
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,57638.1590879883
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,15220.5660250684
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,2110.66775421973
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,2860.56647483229
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,2170.64805431211
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,2943.4045337363
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,990.334773954632
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1269.57353678771
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1029.07664867845
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,6162.34727236922
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,9206.76556218532
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,12740.4683450167
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3280.67066529288
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,9779.46649819104
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,6580.79364078079
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,6650.43576946646
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,35021.6365656913
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,22233.812446903
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,7167.64866203512
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,7605.10663582529
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,32242.0883817418
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,1471.91341417364
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,872.101862647059
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,40809.1408318901
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,5529.35634632953
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,4459.20466971562
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1772.21525507544
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1019.76190167878
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1271.23092764932
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,8153.13796703104
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,8342.19070522669
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,7954.02888413546
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8196.10324882545
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,961.457102074733
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,4365.43971488151
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,612.10471513973
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2077.79583298361
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,7200.94573544809
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,3890.35830494709
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3901.33081308019
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,4807.84151638302
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,56085.3419362969
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,36866.1378522737
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,12071.5052443895
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,3775.69001657316
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,41004.1698879842
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1374.65677980479
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,11047.5845333971
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1637.88133775231
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1637.88133775231
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1464.27290201215
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1463.02385979854
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1464.27290201215
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,7993.70539889688
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,10189.6310815684
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/01/2018,,,,
